date,runde,frequenzbereich,ausstattung,block,hoechstbieter,hoechstgebot,mindestgebot
2015-05-27,7,"1,8 GHz (gepaart)","2x5 MHz abstrakt","1800 D",Telekom,41398000,37500000
2015-05-27,7,"1,8 GHz (gepaart)","2x5 MHz abstrakt","1800 E","TEF DE",41398000,37500000
2015-05-27,7,"1,8 GHz (gepaart)","2x5 MHz abstrakt","1800 F",Vodafone,41398000,37500000
2015-05-27,7,"1,8 GHz (gepaart)","2x5 MHz abstrakt","1800 G",Vodafone,43433000,37500000
2015-05-27,7,"1,8 GHz (gepaart)","2x5 MHz abstrakt","1800 H",Vodafone,43433000,37500000
2015-05-27,7,"1,8 GHz (gepaart)","2x5 MHz abstrakt","1800 I","TEF DE",41365000,37500000
2015-05-27,7,"1,8 GHz (gepaart)","2x5 MHz konkret","1800 J",NULL,NULL,37500000
2015-05-27,7,"1,5 GHz (ungepaart)","1x5 MHz abstrakt","1500 A",Telekom,18750000,18750000
2015-05-27,7,"1,5 GHz (ungepaart)","1x5 MHz abstrakt","1500 B",Telekom,18750000,18750000
2015-05-27,7,"1,5 GHz (ungepaart)","1x5 MHz abstrakt","1500 C",Telekom,18750000,18750000
2015-05-27,7,"1,5 GHz (ungepaart)","1x5 MHz abstrakt","1500 D",Telekom,18750000,18750000
2015-05-27,7,"1,5 GHz (ungepaart)","1x5 MHz abstrakt","1500 E",Vodafone,18770000,18750000
2015-05-27,7,"1,5 GHz (ungepaart)","1x5 MHz abstrakt","1500 F",Vodafone,18770000,18750000
2015-05-27,7,"1,5 GHz (ungepaart)","1x5 MHz abstrakt","1500 G",Vodafone,18770000,18750000
2015-05-27,7,"1,5 GHz (ungepaart)","1x5 MHz abstrakt","1500 H",Vodafone,18770000,18750000
2015-05-27,8,"700 MHz (gepaart)","2x5 MHz konkret","700 A","TEF DE",75050000,75000000
2015-05-27,8,"700 MHz (gepaart)","2x5 MHz abstrakt","700 B","TEF DE",75050000,75000000
